Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	97/3	Notes
Scotland	1097	SC003	ECA3	Slateford Jn – Haymarket East Jn	99	01	100	41	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC005	CSP	Carstairs Station Jn – Carstairs East Jn	73	37	74	10	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC007	EGS2	Midcalder Jn – Holytown Jn	23	11	1	27	8 R1	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC012 applies until 30/09/2014
Scotland	1097	SC009	LNK	Lanark – Lanark Jn	2	45	0	03	5	N	R1 R2	N	N	N	N	Y	R1 Infrastructure maintenanance purposes only R2 Prohibited from hauling haul vehicles that exceed RA5
Scotland	1097	SC011	WWD	Law Jn – Holytown Jn	84	08	89	66	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC011	EGS2	Holytown Jn – Mossend East Jn	1	27	0	40	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC011	EGS1	Mossend East Jn – Uddingston Jn	3	63	0	03	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC013	SHR	Wishaw Central Jn – Shieldmuir Jn	86	63	87	43	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC015	MDN	Mossend East Jn – Mossend North Jn (North Curve)	0	40	0	06	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC017	MDE	Mossend East Jn – Mossend South Jn (East Curve)	0	31	0	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC019	MDW	Mossend South Jn – Mossend West Jn (West Curve)	91	08	91	50	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC021	COS2	Coltness – Change of ELR	0	09	0	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC021	COS1	Change of ELR – Garriongill Jn	14	15	15	29	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC023	HMN1	Motherwell – Change of ELR	0	08	1	44	7	N	Y	R1 R2	Y	Y	Y	Y	R1 20mph over bridge 045/046 (1m 42ch) R2 20mph over bridge 045/047 (1m 12ch)
Scotland	1097	SC023	HMN2	Change of ELR – Newton, Hamilton Jn	6	61	0	00	7	N	Y	R1 R2 R3 R4	Y	Y	Y	Y	R1 20mph over bridge 045/045B (6m 37ch) R2 40mph over bridge 045/060 (3m 73ch) R3 40mph over bridge 045/062 (3m 31ch) R4 40mph over bridge 045/065 (2m 45ch)
Scotland	1097	SC024	LRK	Larkhall – Haughhead Jn	3	00	0	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC025	ARG1	Rutherglen Central Jn – Bridgeton Yard North End	0	00	0	43	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC025	ARG2	Bridgeton Yard North End – Exhibition Centre	0	86	4	03	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1097	SC025	ARG2	Exhibition Centre – Finnieston East Jn (Down line)	4	03	4	41	10	Y	Y	Y	Y	Y	Y	Y	
